PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=353 ttl=64 time=871 ms
64 bytes from 10.0.0.2: icmp_seq=354 ttl=64 time=861 ms
64 bytes from 10.0.0.2: icmp_seq=355 ttl=64 time=926 ms
64 bytes from 10.0.0.2: icmp_seq=356 ttl=64 time=931 ms
64 bytes from 10.0.0.2: icmp_seq=357 ttl=64 time=947 ms
64 bytes from 10.0.0.2: icmp_seq=358 ttl=64 time=949 ms
64 bytes from 10.0.0.2: icmp_seq=359 ttl=64 time=928 ms
64 bytes from 10.0.0.2: icmp_seq=360 ttl=64 time=939 ms
64 bytes from 10.0.0.2: icmp_seq=361 ttl=64 time=936 ms
64 bytes from 10.0.0.2: icmp_seq=362 ttl=64 time=958 ms
64 bytes from 10.0.0.2: icmp_seq=363 ttl=64 time=1008 ms
64 bytes from 10.0.0.2: icmp_seq=364 ttl=64 time=1022 ms
64 bytes from 10.0.0.2: icmp_seq=365 ttl=64 time=1029 ms
64 bytes from 10.0.0.2: icmp_seq=366 ttl=64 time=1036 ms
64 bytes from 10.0.0.2: icmp_seq=367 ttl=64 time=1031 ms
64 bytes from 10.0.0.2: icmp_seq=368 ttl=64 time=1038 ms
64 bytes from 10.0.0.2: icmp_seq=369 ttl=64 time=1019 ms
64 bytes from 10.0.0.2: icmp_seq=370 ttl=64 time=1033 ms
64 bytes from 10.0.0.2: icmp_seq=371 ttl=64 time=1037 ms
64 bytes from 10.0.0.2: icmp_seq=372 ttl=64 time=1045 ms
64 bytes from 10.0.0.2: icmp_seq=373 ttl=64 time=1069 ms
64 bytes from 10.0.0.2: icmp_seq=374 ttl=64 time=1068 ms
64 bytes from 10.0.0.2: icmp_seq=375 ttl=64 time=1058 ms
64 bytes from 10.0.0.2: icmp_seq=376 ttl=64 time=1049 ms
64 bytes from 10.0.0.2: icmp_seq=377 ttl=64 time=1052 ms
64 bytes from 10.0.0.2: icmp_seq=378 ttl=64 time=1060 ms
64 bytes from 10.0.0.2: icmp_seq=379 ttl=64 time=1048 ms
64 bytes from 10.0.0.2: icmp_seq=380 ttl=64 time=1051 ms
64 bytes from 10.0.0.2: icmp_seq=381 ttl=64 time=1059 ms
64 bytes from 10.0.0.2: icmp_seq=382 ttl=64 time=1057 ms
